시점,호수 (호),서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주도
1995,846210,24527,79464,54815,100093,65792,29433,18961,0,115726,25769,25231,14384,54061,56838,35472,141661,3983
1996,1148783,47481,104051,76486,113025,87492,35383,25627,0,172218,41858,35848,39031,77297,70608,53545,164792,4041
1997,1451356,70435,128638,98157,125957,109192,41333,32293,0,228710,57947,46465,63678,100533,84378,71618,187923,4099
1998,1753949,93389,153225,119828,138891,130894,47285,38961,0,285204,74037,57084,88326,123769,98149,89693,211056,4158
1999,1981778,140998,163455,125526,146706,144859,55233,44459,0,339309,85069,60600,102052,134961,104411,105456,222513,6171
2000,2209607,188607,173685,131224,154521,158824,63180,49957,0,393415,96102,64116,115777,146154,110672,121220,233970,8183
2001,2437439,236216,183917,136922,162337,172789,71128,55455,0,447520,107134,67632,129503,157346,116934,136983,245427,10196
2002,2636926,283360,185093,149622,171108,181210,74581,62071,0,492517,114524,71321,140480,167596,125363,145082,261672,11326
2003,2836414,330503,186268,162323,179878,189630,78033,68687,0,537514,121914,75011,151458,177845,133793,153182,277918,12457
2004,3035901,377647,187444,175023,188649,198051,81486,75303,0,582511,129304,78700,162435,188095,142222,161281,294163,13587
2005,3265332,405560,209327,188312,204854,210928,90906,81981,0,628120,140164,85929,176446,196040,149208,171316,311438,14803
2006,3494765,433473,231211,201601,221059,223804,100325,88659,0,673730,151025,93159,190458,203985,156195,181351,328712,16018
2007,3724196,461386,253094,214890,237264,236681,109745,95337,0,719339,161885,100388,204469,211930,163181,191386,345987,17234
2008,3877671,475964,261369,226484,242793,242051,111225,101922,0,750319,169501,105787,216954,218112,169210,204910,363480,17590
2009,4031150,490542,269645,238078,248323,247422,112706,108508,0,781299,177116,111185,229439,224295,175240,218434,380972,17946
2010,4184625,505120,277920,249672,253852,252792,114186,115093,0,812279,184732,116584,241924,230477,181269,231958,398465,18302
2011,4288514,523336,287504,256920,256377,254393,117350,118705,1,835085,188119,117989,245068,236319,187717,237135,406301,20195
2012,4400268,541553,297088,264167,258901,255994,120514,122316,7871,857890,191506,119393,248212,242161,194165,242312,414137,22088
2013,4504778,559769,306672,271415,261426,257595,123678,125928,8493,880696,194893,120798,251356,248003,200613,247489,421973,23981
2014,4640181,571337,314505,285829,262224,265310,124777,131217,9115,900239,199053,129184,260857,256617,208811,259346,435776,25984
2015,4775583,582904,322337,300243,263023,273026,125875,136506,9737,919782,203212,137570,270357,265230,217010,271204,449580,27987
2016,4910986,594472,330170,314657,263821,280741,126974,141795,10359,939325,207372,145956,279858,273844,225208,283061,463383,29990
2017,5068313,603497,338906,324724,265584,287898,131009,149424,10406,956494,212301,158433,299562,280714,231990,305159,481159,31053
2018,5285616,616848,355085,335368,267064,291800,136469,154047,11844,1001419,230600,178870,318943,291676,234848,322460,505880,32395
2019,5463010,630414,370089,342903,270567,298779,139000,164797,12294,1025794,246940,190411,326338,304197,240699,339831,527310,32647
2020,5640404,643980,385093,350438,274070,305758,141531,175547,12744,1050169,263280,201952,333733,316718,246550,357202,548740,32899
