"시점",소계,가정용,공공용,서비스업,농림어업,광업,제조업
"1997.01",16224867,2814138,557379,3616542,301811,80421,8854576
"1997.02",15363840,2788312,558610,3551611,327617,70471,8067220
"1997.03",16094268,2555048,528672,3333225,345359,81877,9250086
"1997.04",16266027,2629204,555354,3430624,292235,84596,9274014
"1997.05",16028072,2525076,511468,3333483,302913,80963,9274169
"1997.06",16465534,2545295,536842,3514613,450147,84923,9333713
"1997.07",17202305,2631364,603677,4061955,302701,83924,9518685
"1997.08",18298057,3034723,657678,4610675,411536,83296,9500149
"1997.09",17597176,2873304,625651,4397640,371318,83822,9245440
"1997.10",16867422,2606517,526297,3650633,307950,90643,9685382
"1997.11",17217667,2714885,571731,3687640,473154,87852,9682404
"1997.12",17158393,2797487,610843,3852251,289113,87332,9521367
"1998.01",15800172,2805573,582849,3777655,316631,72114,8245349
"1998.02",15414800,2820949,567980,3600225,330808,68842,8025997
"1998.03",15621705,2700132,536653,3325284,324921,76603,8658113
"1998.04",15708803,2605285,569459,3455175,295683,77871,8705330
"1998.05",15626729,2637033,532698,3393120,294314,78413,8691151
"1998.06",15786326,2579128,552387,3472327,423919,128049,8630515
"1998.07",16176705,2632137,615474,3897449,303093,74064,8654488
"1998.08",16609760,2830602,654583,4336453,366650,71829,8349643
"1998.09",17254502,2924749,646374,4239392,346086,80369,9017532
"1998.10",16032799,2831967,565800,3703630,315064,75531,8540807
"1998.11",16462463,2744199,586378,3600647,406589,84398,9040251
"1998.12",16975574,2800845,639147,3878525,299994,85316,9271747
"1999.01",16857652,2897210,634454,4082079,341495,72429,8829986
"1999.02",16034674,2973971,624352,4017336,363945,63029,7992041
"1999.03",16826489,2857901,595159,3833634,382376,72312,9085108
"1999.04",17172177,2804804,640548,3946234,324666,77456,9378469
"1999.05",17014277,2773756,580887,3770762,325912,77883,9485078
"1999.06",17698167,2707198,618858,4013577,484220,80571,9793742
"1999.07",18391299,2754615,678651,4396654,357345,79246,10124788
"1999.08",19013452,2964056,734423,4990385,454451,78649,9791488
"1999.09",19117739,3134212,736811,4863217,404086,80259,9899154
"1999.10",18409965,2949241,640397,4200033,343934,86867,10189493
"1999.11",18569898,2856047,586093,4191396,459055,91615,10304692
"1999.12",19109101,2907670,714757,4603538,330357,91406,10461373
"2000.01",19635011,3065085,729110,5048124,392416,79756,10320520
"2000.02",18945849,3191737,712693,5054793,415623,69884,9501119
"2000.03",19810568,3054528,700794,4884520,445857,82926,10641943
"2000.04",19095940,2976712,696575,4742498,381474,83886,10214795
"2000.05",19133999,2916591,649902,4563989,378536,84391,10540590
"2000.06",19681528,2906733,692847,4810888,433377,84463,10753220
"2000.07",20685639,3096030,779510,5389011,423524,82950,10914614
"2000.08",21493089,3474141,819920,5956026,462549,79268,10701185
"2000.09",20251853,3309683,750305,5453841,447409,78862,10211753
"2000.10",19641575,2950355,646486,4756752,377745,90935,10819302
"2000.11",20368537,3053447,710084,5116304,727626,93284,10667792
"2000.12",20791899,3107270,774966,5733455,419497,91962,10664749
"2001.01",21300441,3433121,782575,6538096,438073,75071,10033506
"2001.02",21096795,3450056,762073,6512294,480292,71489,9820591
"2001.03",21179431,3104060,741698,6038689,420604,85034,10789346
"2001.04",20933489,3162088,751085,5870261,410874,91259,10647922
"2001.05",20434987,3004257,697655,5319718,416855,93740,10902763
"2001.06",21057430,3079253,750178,5639631,514533,94839,10978996
"2001.07",21355726,3136408,822301,5980843,439380,88953,10887841
"2001.08",22434299,3685891,883598,6679132,513138,89220,10583320
"2001.09",22211627,3396831,842755,6268263,563384,95626,11044768
"2001.10",21063675,3080612,712701,5695171,930822,89032,10555336
"2001.11",21757501,3289316,781810,5987510,435018,98587,11165261
"2001.12",22905952,3389336,896397,6774382,422174,101434,11322229
"2002.01",24345142,3730599,912084,7721875,501820,91074,11387691
"2002.02",22494339,3617588,863838,7329808,541587,78609,10062909
"2002.03",22835056,3315747,838842,6770417,482702,92998,11334350
"2002.04",22820603,3415416,847382,6523414,450721,97552,11486117
"2002.05",22279316,3274314,788539,6060110,423250,98670,11634432
"2002.06",22228006,3351252,818594,6056592,500523,96490,11404556
"2002.07",22866129,3398289,879603,6297668,481214,95680,11713675
"2002.08",23628044,3801275,940997,6955949,531224,92923,11305676
"2002.09",22903899,3576592,904683,6565003,505184,97650,11254787
"2002.10",22954521,3415671,795212,6571648,439666,101473,11630851
"2002.11",24314025,3632047,928482,7031811,785382,107719,11828584
"2002.12",24782292,3749509,1015363,7301400,512457,104343,12099220
"2003.01",26415264,4089067,1028178,8641748,541484,95484,12019302
"2003.02",24943032,4005757,961405,8340782,575851,85168,10974069
"2003.03",24587115,3535938,945639,7365479,477148,99280,12163630
"2003.04",24347637,3681920,937108,7161295,453238,102840,12011236
"2003.05",23251967,3519326,823848,6489256,417418,100517,11901604
"2003.06",23465898,3562875,874935,6488976,476170,102092,11960849
"2003.07",23605893,3571995,927286,6666185,439737,100238,11900452
"2003.08",24290405,3897428,943899,7224091,489855,96330,11638803
"2003.09",23800219,3875935,940190,6969744,497843,93129,11423378
"2003.10",23793012,3603975,851183,6466340,437178,108777,12325559
"2003.11",24885960,3646259,923962,7292532,662072,108569,12252567
"2003.12",26212828,3581607,1077771,8298377,475538,112636,12666898
"2004.01",26752037,4204620,1106221,8830283,526325,99227,11985360
"2004.02",27086585,4348752,1068611,8972120,592901,94225,12009976
"2004.03",26350310,3916370,1061818,8040904,502566,104489,12724163
"2004.04",25615694,3952916,1031157,7583946,475838,106840,12464997
"2004.05",24587236,3766155,900981,6820215,446327,103974,12549585
"2004.06",25131881,3816530,973540,6968806,515766,106834,12750406
"2004.07",25577155,3883205,1057062,7347103,479477,105345,12704964
"2004.08",27249274,4675245,1132416,8310352,624311,103234,12403717
"2004.09",25634547,4121334,1038282,7438016,563553,104116,12369244
"2004.10",24772485,3823664,913581,6768664,472378,109037,12685160
"2004.11",26131502,4006960,990907,7377399,796772,115197,12844268
"2004.12",27206879,4099569,1142223,8268565,514331,116945,13065247
"2005.01",29238796,4499794,1225001,9658804,569887,105439,13179871
"2005.02",27497979,4468249,1165090,9509988,623424,87207,11644020
"2005.03",28035082,4061280,1188431,8801785,560835,106838,13315914
"2005.04",27373270,4178241,1146766,8313744,529021,111433,13094065
"2005.05",25918867,3894252,983952,7185553,498174,114481,13242455
"2005.06",26810982,4108001,1068247,7607980,589770,114340,13322644
"2005.07",27374078,4141834,1167210,8029761,539656,107167,13388449
"2005.08",28435470,4666902,1200095,8723798,611698,106717,13126263
"2005.09",27315740,4297548,1142122,8088575,593007,109235,13085253
"2005.10",26167397,3999118,1002126,7314160,510315,113464,13228217
"2005.11",27679290,4127784,1099493,7973624,791558,120472,13566361
"2005.12",30565876,4430033,1352089,9778791,589169,120326,14295468
"2006.01",31823465,4778843,1390787,10986164,652674,107073,13907924
"2006.02",29978782,4621615,1271026,10204934,662155,100607,13118445
"2006.03",29262514,4134509,1245042,9155216,567076,113893,14046778
"2006.04",28826291,4349791,1222791,8938952,547545,115315,13651897
"2006.05",27349505,4027016,1069648,7831433,505024,117926,13798458
"2006.06",27613395,4151786,1098778,7838581,553085,119236,13851929
"2006.07",27999171,4217472,1177006,8233070,523236,110395,13737992
"2006.08",29861619,4840414,1292244,9184733,642691,117533,13784004
"2006.09",29431425,4575149,1235764,8689507,654271,124781,14151953
"2006.10",26316296,3984903,1021020,7450384,531913,112533,13215543
"2006.11",28914360,4312012,1167790,8376019,845341,126754,14086444
"2006.12",31342548,4528387,1396661,10058771,610681,127037,14621011
"2007.01",32543861,4706885,1401561,10866291,656547,120348,14792223
"2007.02",31089129,4736308,1327497,10738706,710859,107321,13468437
"2007.03",30138431,4202931,1285094,9365077,588603,116831,14579895
"2007.04",30374816,4462705,1296526,9381808,580356,124476,14528944
"2007.05",29029176,4183592,1130833,8270064,562374,123044,14759268
"2007.06",29203872,4261530,1177411,8279936,629755,125455,14729784
"2007.07",29845821,4300541,1285129,8691159,575507,121404,14872081
"2007.08",31669513,4980564,1364193,9672248,682731,121958,14847819
"2007.09",30680240,4844205,1335123,9203827,688721,118991,14489372
"2007.10",29202242,4317981,1171100,8159533,571352,126671,14855605
"2007.11",31274923,4504219,1284511,9168285,866641,138094,15313173
"2007.12",33553410,4672523,1519602,10804289,681347,139572,15736077
"2008.01",35129161,5002651,1523330,11750225,717768,136341,15998875
"2008.02",34177711,5037259,1513567,11982629,761485,114846,14767925
"2008.03",33293772,4559993,1475240,10553059,709968,131898,15863613
"2008.04",31704738,4621475,1347134,9502189,609189,127404,15497348
"2008.05",30119983,4327527,1185546,8435189,588415,127303,15456004
"2008.06",30352080,4412073,1234560,8467546,621888,115896,15500116
"2008.07",32010672,4554289,1401717,9202828,611924,117460,16122454
"2008.08",33021497,5212158,1407042,10023405,743266,113784,15521840
"2008.09",31322927,4714525,1335939,9112717,715275,108372,15336099
"2008.10",30403363,4373511,1226168,8435499,622543,117744,15627896
"2008.11",30863876,4619509,1310398,9228903,953877,117663,14633526
"2008.12",32670358,4792968,1616688,10940876,733229,117397,14469201
"2009.01",34349683,5200531,1666080,12516933,829088,105714,14031337
"2009.02",33306296,5165742,1540121,11785449,827631,99300,13888053
"2009.03",32615254,4516807,1528489,10401325,735226,108855,15324553
"2009.04",32478163,4756324,1463246,9917781,698429,110706,15531678
"2009.05",30436168,4485765,1262053,8743109,645140,108845,15191256
"2009.06",31079781,4549373,1346197,9000386,688549,114574,15380702
"2009.07",32430824,4620457,1496890,9578963,655989,110543,15967984
"2009.08",33043506,5027235,1501390,9983859,734027,108154,15688841
"2009.09",33525439,4862515,1514988,9542758,791394,120753,16693032
"2009.10",31044394,4519174,1316375,8652123,667151,110721,15778850
"2009.11",33530622,4865299,1477283,9554087,1058382,122212,16453359
"2009.12",36634505,5026261,1819146,11526201,813522,129780,17319595
"2010.01",39712861,5507536,1926310,13585412,969598,121661,17602343
"2010.02",37220269,5418969,1788713,12843331,969684,118516,16081055
"2010.03",35568069,4747389,1689651,10855621,825705,128922,17320781
"2010.04",35979970,5021423,1692119,10877068,801814,144738,17442807
"2010.05",33819812,4710172,1416320,9455208,695652,129927,17412534
"2010.06",33835637,4753084,1448346,9295039,723156,147323,17468689
"2010.07",35551241,4903709,1629458,10104520,719963,147904,18045687
"2010.08",37264761,5729394,1687476,11230451,839120,140508,17637813
"2010.09",36254476,5522699,1693973,10607473,864029,142090,17424212
"2010.10",33555161,4726705,1388689,9035295,697868,144194,17562411
"2010.11",36106325,4962997,1590350,10132180,1024694,152822,18243282
"2010.12",39291648,5190092,1920137,11901471,910570,164348,19205029
"2011.01",43116656,5708799,2124665,14262566,1082726,160825,19777076
"2011.02",39845241,5645092,1948890,13554206,1096549,142943,17457561
"2011.03",38447975,4841793,1825123,11411544,932269,160992,19276254
"2011.04",37727320,5077700,1702229,10895248,857263,153727,19041153
"2011.05",35466174,4788808,1430626,9470110,697405,167918,18911306
"2011.06",35759644,4794289,1493435,9449146,738820,170762,19113191
"2011.07",37296560,4929816,1677590,10114516,718216,166937,19689484
"2011.08",38374057,5557244,1731261,11034717,840934,166281,19043619
"2011.09",36871130,5221464,1673873,10256889,888939,151042,18678925
"2011.10",35615491,4744069,1452306,9105906,746991,154134,19412086
"2011.11",36880435,5040752,1567187,9705805,1050280,170691,19345719
"2011.12",39669577,5214421,1912126,11501621,924587,161990,19954833
"2012.01",42486807,5664797,2092377,13759085,1166165,153493,19650889
"2012.02",41932128,5712297,2051774,13599172,1212664,144901,19211319
"2012.03",40324308,5160286,1916960,11920066,1097143,151593,20078261
"2012.04",38496407,5245617,1769610,10956292,977433,156651,19390805
"2012.05",36388770,4825159,1501295,9420666,784896,154927,19701827
"2012.06",36610560,4876703,1545611,9471078,857983,131577,19727608
"2012.07",38149087,5002111,1928367,10135882,804987,122396,20155344
"2012.08",39901705,6256403,1588063,11452468,1040264,117320,19447187
"2012.09",37881181,5407282,1671867,10350403,962390,115721,19373519
"2012.10",34907400,4804896,1482762,8772294,783288,114517,18949643
"2012.11",37931181,5157886,1701972,10186466,1230012,127300,19527544
"2012.12",41583414,5422714,2171682,12474903,1156775,125974,20231367
"2013.01",44491470,5881480,2309354,14243845,1383228,123434,20550128
"2013.02",41012232,5746706,2123222,13237272,1363596,110767,18430670
"2013.03",39520572,4978420,1908230,11221782,1158794,120507,20132840
"2013.04",39007192,5240100,1872996,10772305,1046160,125727,19949903
"2013.05",37460418,4904370,1577656,9707702,872527,125602,20272562
"2013.06",37366213,4968141,1606528,9601421,865492,124118,20200513
"2013.07",39171508,5271316,1784949,10373255,844602,122848,20774538
"2013.08",40647057,6189736,1840371,11539402,1128766,115840,19832941
"2013.09",38781510,5561633,1694543,10384218,1110004,113771,19917340
"2013.10",36964747,4816213,1512084,9099773,863817,123631,20549229
"2013.11",38533486,5098560,1680322,9933619,1236249,134949,20449788
"2013.12",41892174,5313798,2071900,11940280,1188372,136848,21240974
"2014.01",43775187,5678615,2161006,13212367,1397275,133180,21192744
"2014.02",41221994,5675726,2031694,12573503,1392081,115082,19433907
"2014.03",40637619,4956804,1895170,11035392,1210535,125354,21414364
"2014.04",39266561,5162201,1728110,10209944,1064315,138004,20963987
"2014.05",37390795,4848790,1546210,9249073,906010,132075,20708636
"2014.06",37855377,4963802,1608592,9554942,940110,130390,20657541
"2014.07",40010750,5089881,1800994,10348376,928066,132453,21710980
"2014.08",40047644,5691995,1801628,10984554,1103631,124384,20341451
"2014.09",38174482,5213918,1680856,10044700,1084576,116293,20034139
"2014.10",37828850,4810050,1558647,9276718,913022,135148,21135265
"2014.11",38743663,5160676,1689121,10014815,1348320,141184,20389547
"2014.12",42638778,5422853,2167226,12125132,1268514,147381,21507671
